"County.Name","Attributes","Values"
"Albany","Hispanic",4.9
"Allegany","Hispanic",1.4
"Bronx","Hispanic",53.5
"Broome","Hispanic",3.4
"Cattaraugus","Hispanic",1.7
"Cayuga","Hispanic",2.4
"Chautauqua","Hispanic",6.1
"Chemung","Hispanic",2.5
"Chenango","Hispanic",1.8
"Clinton","Hispanic",2.5
"Columbia","Hispanic",3.9
"Cortland","Hispanic",2.2
"Delaware","Hispanic",3.3
"Dutchess","Hispanic",10.5
"Erie","Hispanic",4.5
"Essex","Hispanic",2.5
"Franklin","Hispanic",2.9
"Fulton","Hispanic",2.3
"Genesee","Hispanic",2.7
"Greene","Hispanic",4.9
"Hamilton","Hispanic",1.1
"Herkimer","Hispanic",1.6
"Jefferson","Hispanic",5.3
"Kings","Hispanic",19.8
"Lewis","Hispanic",1.3
"Livingston","Hispanic",2.8
"Madison","Hispanic",1.8
"Monroe","Hispanic",7.3
"Montgomery","Hispanic",11.3
"Nassau","Hispanic",14.6
"New York","Hispanic",25.4
"Niagara","Hispanic",2.2
"Oneida","Hispanic",4.6
"Onondaga","Hispanic",4
"Ontario","Hispanic",3.4
"Orange","Hispanic",18
"Orleans","Hispanic",4.1
"Oswego","Hispanic",2.1
"Otsego","Hispanic",3.1
"Putnam","Hispanic",11.7
"Queens","Hispanic",27.5
"Rensselaer","Hispanic",3.8
"Richmond","Hispanic",17.3
"Rockland","Hispanic",15.7
"St. Lawrence","Hispanic",1.9
"Saratoga","Hispanic",2.4
"Schenectady","Hispanic",5.7
"Schoharie","Hispanic",2.8
"Schuyler","Hispanic",1.3
"Seneca","Hispanic",2.7
"Steuben","Hispanic",1.4
"Suffolk","Hispanic",16.5
"Sullivan","Hispanic",13.6
"Tioga","Hispanic",1.4
"Tompkins","Hispanic",4.2
"Ulster","Hispanic",8.7
"Warren","Hispanic",1.8
"Washington","Hispanic",2.3
"Wayne","Hispanic",3.7
"Westchester","Hispanic",21.8
"Wyoming","Hispanic",3
"Yates","Hispanic",1.7
"Albany","Children.In.HH",26.7
"Allegany","Children.In.HH",29.5
"Bronx","Children.In.HH",40.4
"Broome","Children.In.HH",26.7
"Cattaraugus","Children.In.HH",29.5
"Cayuga","Children.In.HH",29.5
"Chautauqua","Children.In.HH",28.4
"Chemung","Children.In.HH",30.2
"Chenango","Children.In.HH",30.1
"Clinton","Children.In.HH",28.9
"Columbia","Children.In.HH",27.3
"Cortland","Children.In.HH",29.7
"Delaware","Children.In.HH",25.4
"Dutchess","Children.In.HH",33.1
"Erie","Children.In.HH",28
"Essex","Children.In.HH",25.7
"Franklin","Children.In.HH",30.2
"Fulton","Children.In.HH",30.1
"Genesee","Children.In.HH",30.2
"Greene","Children.In.HH",26.5
"Hamilton","Children.In.HH",19.8
"Herkimer","Children.In.HH",29.1
"Jefferson","Children.In.HH",36.5
"Kings","Children.In.HH",33.3
"Lewis","Children.In.HH",32.3
"Livingston","Children.In.HH",29.7
"Madison","Children.In.HH",31
"Monroe","Children.In.HH",30.2
"Montgomery","Children.In.HH",29.9
"Nassau","Children.In.HH",36.8
"New York","Children.In.HH",18.2
"Niagara","Children.In.HH",28.3
"Oneida","Children.In.HH",29.5
"Onondaga","Children.In.HH",30.6
"Ontario","Children.In.HH",30.5
