"","x","y","Crime"
"1",-77.0121804140333,38.8713860311737,"HOMICIDE"
"2",-77.0257444006317,38.9692772894038,"SEX ABUSE"
"3",-77.0429560588002,38.9224832152944,"SEX ABUSE"
"4",-77.0401534851585,38.9218806542317,"SEX ABUSE"
"5",-77.0549662481239,38.8997681534193,"SEX ABUSE"
"6",-76.9751125548602,38.9172864220298,"SEX ABUSE"
"7",-76.9673072973781,38.8721117707812,"SEX ABUSE"
"8",-77.0138861567273,38.813470538108,"SEX ABUSE"
"9",-76.9961826744031,38.9279140546757,"HOMICIDE"
"10",-76.9430752765402,38.8836782605527,"HOMICIDE"
"11",-76.9392068939082,38.8922703053027,"SEX ABUSE"
"12",-76.9931501205792,38.9222116515,"THEFT"
"13",-77.0852995777749,38.9599074551124,"THEFT"
"14",-77.0335802425459,38.9215494199822,"SEX ABUSE"
"15",-77.0239665882582,38.9162802037531,"SEX ABUSE"
"16",-77.0150128080007,38.9147339754316,"BURGLARY/ROBBERY"
"17",-77.0199028918946,38.8774296061053,"SEX ABUSE"
"18",-77.0364984941377,38.922989876581,"SEX ABUSE"
"19",-76.934428347569,38.8858036279873,"BURGLARY/ROBBERY"
"20",-76.9892789449388,38.8989067815921,"BURGLARY/ROBBERY"
"21",-76.9517981310081,38.8866279275513,"BURGLARY/ROBBERY"
"22",-76.9941950896103,38.8348843600211,"THEFT"
"23",-76.9961827255212,38.9269591734811,"OTHER"
"24",-76.9892787513323,38.9001949769471,"THEFT"
"25",-77.0227711589214,38.9815561226239,"BURGLARY/ROBBERY"
"26",-77.0334920492994,38.9056407224096,"OTHER"
"27",-76.9855863513403,38.8598099668949,"OTHER"
"28",-76.996014162813,38.8477845343992,"OTHER"
"29",-77.0199879160089,38.9341101232225,"THEFT"
"30",-76.984597387348,38.9145290751498,"THEFT"
"31",-77.0393336574457,38.9192789345686,"BURGLARY/ROBBERY"
"32",-77.0005758286805,38.8280290629176,"OTHER"
"33",-76.9575271797417,38.8856031958196,"BURGLARY/ROBBERY"
"34",-77.0175352772779,38.9505416339575,"OTHER"
"35",-76.9177902664202,38.8918878525632,"BURGLARY/ROBBERY"
"36",-77.0398102543808,38.9060981661981,"SEX ABUSE"
"37",-77.0111831430753,38.9050774616567,"BURGLARY/ROBBERY"
"38",-76.9708779125772,38.9410123427689,"THEFT"
"39",-77.0284972249487,38.9276854348615,"SEX ABUSE"
"40",-77.0224279189943,38.9177595870567,"THEFT"
"41",-76.9930314673564,38.9563440661593,"OTHER"
"42",-77.002036147314,38.9013267206321,"THEFT"
"43",-77.0416791707161,38.9081334010465,"THEFT"
"44",-76.9348088101595,38.9117980524795,"BURGLARY/ROBBERY"
"45",-77.039659163839,38.9246553859132,"THEFT"
"46",-76.9836545114784,38.9438126216273,"THEFT"
"47",-76.958858684978,38.8751449310428,"BURGLARY/ROBBERY"
"48",-77.030787609107,38.916991975442,"THEFT"
"49",-77.0302587329635,38.911126245521,"THEFT"
"50",-76.976170306397,38.8682403012699,"BURGLARY/ROBBERY"
"51",-77.0416668685954,38.9111281167195,"THEFT"
"52",-77.0239906646866,38.9014721923349,"THEFT"
"53",-76.9586684700369,38.8852072364229,"THEFT"
"54",-77.0374970902355,38.9140893315467,"THEFT"
"55",-76.986272833877,38.9447768448516,"THEFT"
"56",-77.0202446629703,38.944694823272,"THEFT"
"57",-77.042574317715,38.9025250195846,"THEFT"
"58",-77.0319485549432,38.9118679027393,"THEFT"
"59",-77.0992699704142,38.9501945209587,"BURGLARY/ROBBERY"
"60",-76.9814153690131,38.948793866478,"THEFT"
"61",-77.0540059831041,38.9256946014997,"THEFT"
"62",-77.0700304849853,38.9553594160751,"THEFT"
"63",-77.0044978109196,38.9287968450069,"THEFT"
"64",-76.970099830476,38.8630410505058,"ARSON"
"65",-77.0327305534988,38.9295130132379,"THEFT"
"66",-76.9949639014424,38.8886761807559,"THEFT"
"67",-76.9358206216003,38.9093135709856,"BURGLARY/ROBBERY"
"68",-77.0129295636204,38.8720345556534,"BURGLARY/ROBBERY"
"69",-77.0349122856673,38.9562140266117,"BURGLARY/ROBBERY"
"70",-77.0000461468201,38.9526328680329,"BURGLARY/ROBBERY"
