"State.Name","County.Name","fips","Hispanic","Children.In.HH","Male","Asian","Black","White","Senior","Owned","Seasonal.Housing","Single.Parent","Under.Eighteen","Vacant.Housing","Housing.Units","Median.Age","Pop2010","Regions","Divisions"
"Alabama","Autauga","'01001'",2.4,39.4,48.7,0.9,17.6,77.2,12,75.4,1.2,9.7,26.8,7.4,22135,37,54571,"South","E.S. Central"
"Alabama","Baldwin","'01003'",4.4,31.7,48.9,0.7,9.3,83.5,16.8,72.5,16.3,8.1,23,13.4,104061,41.1,182265,"South","E.S. Central"
"Alabama","Barbour","'01005'",5.1,33.2,53.1,0.4,46.7,46.8,14.2,66.8,6.8,13,21.9,10.1,11829,39,27457,"South","E.S. Central"
"Alabama","Bibb","'01007'",1.8,35,53.7,0.1,21.9,75,12.7,75.6,1.3,9.4,22.7,10.1,8981,37.8,22915,"South","E.S. Central"
"Alabama","Blount","'01009'",8.1,35.7,49.5,0.2,1.3,88.9,14.7,80.6,1.2,7,24.6,8.4,23887,39,57322,"South","E.S. Central"
"Alabama","Bullock","'01011'",7.1,34.4,54.2,0.2,70,21.9,13.5,68.8,5.2,16.3,22.3,11.5,4493,38.5,10914,"South","E.S. Central"
"Alabama","Butler","'01013'",0.9,33.3,47,0.8,43.2,54.1,16.7,70.3,2.9,12.6,24.1,11.8,9964,40.1,20947,"South","E.S. Central"
"Alabama","Calhoun","'01015'",3.3,31.6,48.2,0.7,20.4,73.6,14.3,68.8,0.8,10,22.9,10.4,53289,38.2,118572,"South","E.S. Central"
"Alabama","Chambers","'01017'",1.6,30.8,47.8,0.5,38.6,58.1,16.7,70.6,1.7,11.2,22.5,16.4,17004,41.5,34215,"South","E.S. Central"
"Alabama","Cherokee","'01019'",1.2,29.7,49.6,0.2,4.6,92.1,17.9,78.5,25.1,7.3,21.4,9.5,16267,43.9,25989,"South","E.S. Central"
