"Date","Volume","Adj.Close","Stock"
2014-10-13,53485500,99.81,"Apple"
2014-10-10,66270200,100.73,"Apple"
2014-10-09,77312200,101.02,"Apple"
2014-10-08,57364800,100.8,"Apple"
2014-10-07,42068200,98.75,"Apple"
2014-10-06,36974800,99.62,"Apple"
2014-10-03,43445800,99.62,"Apple"
2014-10-02,47681000,99.9,"Apple"
2014-10-01,51404400,99.18,"Apple"
2014-09-30,55138200,100.75,"Apple"
2014-09-29,49579400,100.11,"Apple"
2014-09-26,62286100,100.75,"Apple"
2014-09-25,99902100,97.87,"Apple"
2014-09-24,60049400,101.75,"Apple"
2014-09-23,63347200,102.64,"Apple"
2014-09-22,52722000,101.06,"Apple"
2014-09-19,70838500,100.96,"Apple"
2014-09-18,37023900,101.79,"Apple"
2014-09-17,60892400,101.58,"Apple"
2014-09-16,66818200,100.86,"Apple"
2014-09-15,61216500,101.63,"Apple"
2014-09-12,62626100,101.66,"Apple"
2014-09-11,62353100,101.43,"Apple"
2014-09-10,100741900,101,"Apple"
2014-09-09,189560600,97.99,"Apple"
2014-09-08,46277800,98.36,"Apple"
2014-09-05,58353200,98.97,"Apple"
2014-09-04,85594800,98.12,"Apple"
2014-09-03,125233100,98.94,"Apple"
2014-09-02,53491400,103.3,"Apple"
2014-08-29,44567000,102.5,"Apple"
2014-08-28,68389800,102.25,"Apple"
2014-08-27,46827400,102.13,"Apple"
2014-08-26,33119800,100.89,"Apple"
2014-08-25,40144700,101.54,"Apple"
2014-08-22,44102400,101.32,"Apple"
2014-08-21,33421900,100.58,"Apple"
2014-08-20,52612800,100.57,"Apple"
2014-08-19,69274700,100.53,"Apple"
2014-08-18,47572000,99.16,"Apple"
2014-08-15,48951000,97.98,"Apple"
2014-08-14,28116000,97.5,"Apple"
2014-08-13,31916000,97.24,"Apple"
2014-08-12,33795000,95.97,"Apple"
2014-08-11,36585000,95.99,"Apple"
2014-08-08,41865000,94.74,"Apple"
2014-08-07,46711000,94.48,"Apple"
2014-08-06,38558000,94.49,"Apple"
2014-08-05,55933000,94.65,"Apple"
2014-08-04,39958000,95.12,"Apple"
2014-08-01,48511000,95.65,"Apple"
2014-07-31,56843000,95.13,"Apple"
2014-07-30,33010000,97.66,"Apple"
2014-07-29,43143000,97.89,"Apple"
2014-07-28,55318000,98.53,"Apple"
2014-07-25,43469000,97.19,"Apple"
2014-07-24,45729000,96.55,"Apple"
2014-07-23,92918000,96.71,"Apple"
2014-07-22,55197000,94.25,"Apple"
2014-07-21,39079000,93.48,"Apple"
2014-07-18,49988000,93.96,"Apple"
2014-07-17,57298000,92.63,"Apple"
2014-07-16,53502000,94.31,"Apple"
2014-07-15,45477900,94.85,"Apple"
2014-07-14,42810000,95.97,"Apple"
2014-07-11,34018000,94.75,"Apple"
2014-07-10,39686000,94.57,"Apple"
2014-07-09,36436000,94.92,"Apple"
2014-07-08,65222000,94.88,"Apple"
2014-07-07,56468000,95.5,"Apple"
2014-07-03,22891800,93.56,"Apple"
2014-07-02,28465000,93.02,"Apple"
2014-07-01,38223000,93.06,"Apple"
2014-06-30,49589000,92.47,"Apple"
2014-06-27,64029000,91.52,"Apple"
2014-06-26,32629000,90.45,"Apple"
2014-06-25,36869000,89.91,"Apple"
2014-06-24,39036000,89.83,"Apple"
2014-06-23,43694000,90.38,"Apple"
2014-06-20,100898000,90.46,"Apple"
2014-06-19,35528000,91.41,"Apple"
2014-06-18,33514000,91.72,"Apple"
2014-06-17,29726000,91.62,"Apple"
2014-06-16,35561000,91.74,"Apple"
2014-06-13,54525000,90.83,"Apple"
2014-06-12,54749000,91.83,"Apple"
2014-06-11,45681000,93.4,"Apple"
2014-06-10,62777000,93.78,"Apple"
2014-06-09,75415000,93.24,"Apple"
2014-06-06,87484600,91.77,"Apple"
2014-06-05,75951400,92.02,"Apple"
2014-06-04,83870500,91.66,"Apple"
2014-06-03,73177300,90.63,"Apple"
2014-06-02,92337700,89.36,"Apple"
2014-05-30,141005200,89.98,"Apple"
2014-05-29,94118500,90.32,"Apple"
2014-05-28,78870400,88.7,"Apple"
2014-05-27,87216500,88.93,"Apple"
2014-05-23,58052400,87.3,"Apple"
2014-05-22,50190000,86.32,"Apple"
2014-05-21,49214900,86.19,"Apple"
2014-05-20,58709000,85.96,"Apple"
2014-05-19,79438800,85.94,"Apple"
2014-05-16,69064100,84.94,"Apple"
2014-05-15,57711500,83.7,"Apple"
2014-05-14,41601000,84.42,"Apple"
2014-05-13,39934300,84.4,"Apple"
2014-05-12,53302200,84.27,"Apple"
2014-05-09,72899400,83.23,"Apple"
2014-05-08,57574300,83.58,"Apple"
2014-05-07,70716100,83.73,"Apple"
2014-05-06,93641100,84.03,"Apple"
2014-05-05,71766800,84.95,"Apple"
2014-05-02,47878600,83.77,"Apple"
2014-05-01,61012000,83.61,"Apple"
2014-04-30,114160200,83.42,"Apple"
2014-04-29,84344400,83.73,"Apple"
2014-04-28,167371400,83.98,"Apple"
2014-04-25,97568800,80.85,"Apple"
2014-04-24,189977900,80.26,"Apple"
2014-04-23,98735000,74.18,"Apple"
2014-04-22,50640800,75.16,"Apple"
2014-04-21,45637200,75.09,"Apple"
2014-04-17,71083600,74.21,"Apple"
2014-04-16,53691400,73.37,"Apple"
2014-04-15,66622500,73.22,"Apple"
2014-04-14,51418500,73.74,"Apple"
2014-04-11,67929400,73.45,"Apple"
2014-04-10,59913000,74,"Apple"
2014-04-09,51542400,74.97,"Apple"
2014-04-08,60972100,73.99,"Apple"
2014-04-07,72462600,74,"Apple"
2014-04-04,68812800,75.18,"Apple"
2014-04-03,40586000,76.16,"Apple"
2014-04-02,45105200,76.7,"Apple"
2014-04-01,50190000,76.57,"Apple"
2014-03-31,42167300,75.87,"Apple"
2014-03-28,50141000,75.89,"Apple"
2014-03-27,55507900,75.98,"Apple"
2014-03-26,74942000,76.3,"Apple"
2014-03-25,70573300,77.04,"Apple"
2014-03-24,88925200,76.22,"Apple"
2014-03-21,93511600,75.33,"Apple"
2014-03-20,52099600,74.74,"Apple"
2014-03-19,56189000,75.1,"Apple"
2014-03-18,52411800,75.12,"Apple"
2014-03-17,49886200,74.46,"Apple"
2014-03-14,59299800,74.17,"Apple"
2014-03-13,64435700,75.01,"Apple"
2014-03-12,49831600,75.86,"Apple"
2014-03-11,69806100,75.78,"Apple"
2014-03-10,44646000,75.05,"Apple"
2014-03-07,55182400,74.98,"Apple"
2014-03-06,46372200,75.03,"Apple"
2014-03-05,50015700,75.25,"Apple"
2014-03-04,64785000,75.1,"Apple"
2014-03-03,59695300,74.6,"Apple"
2014-02-28,92992200,74.39,"Apple"
2014-02-27,75470500,74.59,"Apple"
